PhotoID,PhotoName,PhotoFormat,Time,PlaceName,PlaceURL,PriorClass,SubClass,EventName,Presence,ProvenienceURL,Folder,DatasetName
1,004_0009,JPEG,31-Jul-2008 06:14:34,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
2,005_0071,JPEG,17-Aug-2008 23:09:15,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
3,003_0141,JPEG,08-Jan-2009 22:12:43,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
4,010_0022,JPEG,30-Jun-2008 05:49:24,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
5,001_0094,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
6,012_0187,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
7,012_0192,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
8,010_0058,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
9,009_0277,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
10,013_0025,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
11,009_0021,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
12,008_0016,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
13,014_0099,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
14,010_0006,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
15,013_0005,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
16,009_0036,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
17,006_0005,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
18,006_0013,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
19,008_0002,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
20,011_0012,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
21,015_0004,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
22,002_0047,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
23,014_0122,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
24,002_0034,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
25,011_0011,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
26,015_0038,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
27,005_0026,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
28,002_0046,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
29,004_0025,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
30,007_0006,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
31,013_0015,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
32,003_0105,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
33,008_0029,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
34,001_0068,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
35,001_0058,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
36,015_0037,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
37,004_0039,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
38,011_0006,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
39,012_0147,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
40,006_0017,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
41,014_0052,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
42,003_0140,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
43,005_0007,JPEG,,,,Social,Pic-Nic,,TRUE,,Datasets/EiMM,EiMM
44,007_0062,JPEG,,,,Social,Pic-Nic,,FALSE,,Datasets/EiMM,EiMM
45,007_0023,JPEG,,,,Social,Pic-Nic,,FALSE,,Datasets/EiMM,EiMM
46,019_0028,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
47,010_0062,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
48,004_0031,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
49,006_0091,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
50,019_0046,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
51,017_0074,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
52,012_0094,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
53,013_0047,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
54,012_0056,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
55,003_0147,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
56,002_0021,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
57,002_0036,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
58,008_0095,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
59,014_0074,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
60,009_0063,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
61,011_0049,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
62,012_0022,JPEG,,,,Social,Wedding,,TRUE,,Datasets/EiMM,EiMM
