PhotoID,PhotoName,PhotoFormat,Time,PlaceName,PlaceURL,PriorClass,SubClass,EventName,Presence,ProvenienceURL,Folder,DatasetName
0,S011_0135,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
1,81917286_612be860d2,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
2,5331152364_44a84d7ae7,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
3,S011_0130,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
4,16379413444_1bff14ecd1,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
5,S014_0093,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
6,3746330482_992422b47d,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
7,6176737370_96f9434cb8,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
8,S015_0136,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
9,15246479683_50bf03e253,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
10,20168137920_b8ff13b7e7,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
11,S015_0044,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
12,7050133395_d41b1ca21f,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
13,4626336327_1de30194b8,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
14,9474880977_b5c483ef9e,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
15,9340167555_2140cbf82b,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
16,139247174_651459eba7,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
17,162648451_8f0df093d1,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
18,135300037_2164cff0d1,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
19,Shs002_0168,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
20,S011_0114,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
21,3582617540_61bc97299f,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
22,10928287354_0972fe30fb,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
23,231450420_e2e4464644,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
24,392605368_a4eca23965,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
25,2360218667_66aafc29c4,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
26,3830347762_399abb45d2,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
27,5767780537_d737e64839,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
28,8616617677_076e00da17,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
29,14505575846_0e8d906890,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
30,15619709457_afbd7e19a0,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
31,5330050017_772c54e75a,JPEG,,,,Social,Sea-holiday,,TRUE,https://www.flickr.com,Datasets/USED,USED
